date/time	settlement id	type	order id	sku	quantity	marketplace	fulfillment	order city	order state	order postal	product sales	shipping credits	gift wrap credits	promotional rebates	sales tax collected	selling fees	fba fees	other transaction fees	other	total	description
2016-03-12	6074589941	FBA Inventory Fee									0	0	0	0	0	0	0	0	-4.36	-4.36	FBA Amazon-Partnered Carrier Shipment Fee
2016-03-12	6074589941	FBA Inventory Fee									0	0	0	0	0	0	0	0	-6.30	-6.30	FBA Amazon-Partnered Carrier Shipment Fee
2016-03-12	6074589941	Order	108-1895061-9393028	EE-92RA-1IZD	1	amazon.com	Amazon	Charlotte	NC	28214	159.98	0	0	0	0	-24.00	-16.68	0	0	119.30	Keurig 2.0 Brewing System by Keurig, Silver
2016-03-12	6074589941	Order	110-1892183-4176238	DS-PFA5-RTV4	1	amazon.com	Amazon	Miami	Florida	33122	72.97	0	0	0	0	-10.95	-5.96	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-12	6074589941	Order	113-0287036-7747473	DS-PFA5-RTV4	1	amazon.com	Amazon	LAHAINA	HI	96761-9355	72.97	15.02	0	0	0	-10.95	-20.98	0	0	56.06	Magic Bullet NutriBullet 8-Piece High-Speed Blender/Mixer System
2016-03-12	6074589941	FBA Inventory Fee									0	0	0	0	0	0	0	0	-0.60	-0.60	FBA Removal Order: Return Fee
2016-03-12	6074589941	Refund	107-4067674-1406612	EA-E17A-HV0V	1	amazon.com	Amazon	new York	NY	10128	-182.99	-12.08	0	12.08	0	22.45	0	0	0	-160.54	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
2016-03-12	6074589941	Service Fee									0	0	0	0	0	0	0	0	-2.10	-2.10	FBA Inventory Placement Service Fee
2016-03-12	6074589941	FBA Inventory Fee									0	0	0	0	0	0	0	0	-0.50	-0.50	FBA Removal Order: Return Fee
2016-03-12	6074589941	Order	111-3211417-3613812	EA-E17A-HV0V	1	amazon.com	Amazon	Port Jefferson Station	N.Y.	11776	188.99	0	0	0	0	-28.35	-13.95	0	0	146.69	Magic Bullet NutriBullet Rx N17-1001 Blender, Black
